index,movieId,userId,rating,user_id,movie_id,combined_features
0,10802,cm2941ws30000f34owtbyuyxq,0,0,0,Drama nomi-malone act-nomi exotic-dancer fresh-las vegas-connections Las-Vegas Nomi-Malone Cristal second dark Elizabeth-Berkley Kyle-MacLachlan Gina-Gershon Glenn-Plummer Robert-Davi Alan-Rachins Gina-Ravera Lin-Tucci Greg-Travis Al-Ruscio Patrick-Bristow William-Shockley Michelle-Johnston Dewey-Weber Rena-Riffel Melissa-Williams Ungela-Brockman Melinda-Songer Lance-Davis Jack-McGee Jim-Ishida Bobbie-Phillips Danté-McCarthy Caroline-Key-Johnson Joan-Foley Terry-Beeman Kevin-Stea Sebastian-La-Cause Lisa-Boyle Alexander-Folk Matt-Battaglia Teo Melanie-Jeffcoat Alexander-Zale Irene-Olga-López Julie-Pop Pamela-Anderson Jacob-Witkin Jana-Walker Christina-Robinette Jim-Wise Michael-Shure Geoff-Callan Rick-Marotta Paul-Bates Michael-Cooke Jean-Barrett Gary-Devaney Gene-Ellison-Jones Fernando-Celis Bob-Dunn Ashley-Nation Cory-Melander Sean-Breen Elizabeth-Kennedy Katherine-Manning Warren-Reno Ken-Enomoto Y.-Hero-Abe Rodney-Ueno Kathleen-McTeague Kristen-Knittle Sage-Peart Michael-Washington Debbie-Ables Lindsley-Allen Bryan-Anthony Christopher-D.-Childers Tyce-Diorio Eric-L.-Ellis Carrie-Ann-Inaba Deena-Grassia John-Jacquet-Jr. Laurie-Kanyok Caitlin-McLean Suzi-McDonald Lisa-Ratzin Salvatore-Vassallo Kim-Wolfe Jamy-Woodbury Jason-Yribar Judette-Warren Lonetta-Pugh María-Díaz Madison-Clark Bethany-Chesser Kelly-St.-Romaine Danielle-Burgio Micki-Duran Michelle-Elkin Neisha-Folkes-LeMelle Andrea-Moen Nancy-O'Meara Sandra-Plazinic Laurie-Sposit Tonya-Tovias Michelle-Zeitlin Chris-Tedesco Patrick-Seymour Larry-Washington Robb-Vallier Anne-Gaybis Mike-Anderson Justin-Armao Richard-Atchley Stephen-Austin-Skordiles Anthony-Backman JoAnn-Bush Trevor-Coppola David-Garry Amber-Herrel Tyler-Keegan Gorja-Max Joe-Everett-Michaels Matty-J-Murillo Christy-Oldenkamp Bruce-Pobanz Timothy-Scott-Ralston Eric-Ritter Lisa-Robinson Richard-Roraback Andreanna-Veith Lenny-Wilson Paul-Verhoeven
1,2022,cm2941ws30000f34owtbyuyxq,1,0,1,Comedy Romance longfellow-deeds deeds-finds deeds deeds-small pie-babe Longfellow-Deeds pizzeria $40-billion Deeds Babe Deeds Adam-Sandler Winona-Ryder John-Turturro Allen-Covert Peter-Gallagher Erick-Avari Jared-Harris Steve-Buscemi Conchata-Ferrell Peter-Dante Harve-Presnell Brandon-Molale John-McEnroe Blake-Clark JB-Smoove George-Wallace Gideon-Jacobs Al-Sharpton Rob-Schneider Alex-Buck Steven-Brill
2,22479,cm2941ws30000f34owtbyuyxq,0,0,2,Drama Crime kidnappings kidnappings-expose pair-kidnappings 1930s-kansas dynamics-corrupt 1930s Kansas-City Jennifer-Jason-Leigh Miranda-Richardson Harry-Belafonte Michael-Murphy Dermot-Mulroney Steve-Buscemi Brooke-Smith Jane-Adams Jeff-Feringa A.C.-Smith Martin-Martin Albert-J.-Burnes Ajia-Mignon-Johnson Tim-Snay Tawanna-Benbow Cal-Pritner Jerry-Fornelli Michael-Ornstein John-Durbin Gina-Belafonte Nancy-Marcy Marlon-Hoffman Craig-Handy Joshua-Redman Jesse-Davis Don-Byron Nicholas-Payton Curtis-Fowlkes Clark-Gayton Cyrus-Chestnut Ron-Carter Christian-McBride Russell-Malone Kevin-Mahogany Paul-Anselmo Cameron-DeVictor Ron-Licari John-Pritchett Andrew-Patrick-Ralston Tim-Wrobel Jason-Ray Robert-Altman
3,10436,cm2941ws30000f34owtbyuyxq,0,0,3,Drama Romance husband-engaged woman-cousin falls-love woman-separated young-lawyer 19th-century New-York romantic romantic-comedy Daniel-Day-Lewis Michelle-Pfeiffer Winona-Ryder Alexis-Smith Geraldine-Chaplin Jonathan-Pryce Richard-E.-Grant Alec-McCowen Mary-Beth-Hurt Stuart-Wilson Howard-Erskine John-McLoughlin Christopher-Nilsson Miriam-Margolyes Siân-Phillips Carolyn-Farina Michael-Gough Joanne-Woodward Robert-Sean-Leonard June-Squibb Thomas-Gibson Tracey-Ellis Norman-Lloyd W.B.-Brydon Cristina-Pronzati Clement-Fowler Cindy-Katz Kevin-Sanders Domenica-Cameron-Scorsese Mac-Orange Brian-Davies Thomas-Barbour Henry-Fehren Patricia-Dunnock Kevin-Ash Susan-Lynn-Bragg Pasquale-Cajano Tanya-Carrasco Tamasin-Day-Lewis John-Maczko Catherine-Scorsese Charles-Scorsese Martin-Scorsese Michael-Trout Martin-Scorsese
4,592984,cm2941ws30000f34owtbyuyxq,0,0,4,Drama pulls-yale yale-law student-ohio urgent-phone family-history Yale Ohio three dramatic Amy-Adams Glenn-Close Gabriel-Basso Haley-Bennett Freida-Pinto Bo-Hopkins Owen-Asztalos Jesse-C.-Boyd Stephen-Kunken Keong-Sim Morgan-Gao Ethan-Suess Jono-Mitchell Bill-Kelly David-Dwyer Sarah-Hudson Ted-Huckabee Nathan-Hesse Max-Barrow Sunny-Mabrey Brett-Lorenzini Tierney-Smith Helen-LeRoy Kinsley-Isla-Dillon Ryan-Homchick Joshua-Stenvick Bill-Winkler Chase-Anderson Amy-Parrish Ed-Amatrudo David-de-Vries Holly-Morris Brandon-Hirsch David-Alexander Alexander-Baxter Steven-Reddington Angelo-Reyes John-Rymer Abigail-Rose-Cornell Lowrey-Brown Hunter-James-Evers Riley-McNerney Zele-Avradopoulos David-Jensen Skylar-Denney John-Whitley Zac-Pullam Shane-Donovan-Lewis Mike-Senior William-Mark-McCullough Dylan-Gage Hannah-Pniewski David-Silverman Jason-Davis Joshua-Brady Cory-Chapman Tatom-Pender Cathy-Hope David-Atkinson Adam-Murray Dianna-Craig Emery-Mae-Edgeman Rohan-Myers Matthew-Alan-Brady Lucy-Capri Déjá-Dee Daniel-R.-Hill Jordan-Trovillion Yossie-Mulyadi Alisa-Harris Tiger-Dawn Darla-Robinson Belinda-Keller Jessie-Faye-Shirley Cheryl-Howard Tim-Abou-Nasr Leland-Thomas-Griffin Drew-Emerson-Jones Justin-P.-Turner Joshua-T.-Schneider Tony-Ward Mara-Hall Tess-Malis-Kincaid Chris-Charm Mary-Kraft Suehyla-El-Attar Matthew-Withers Jessica-Miesel Benjamin-Rapsas Ethan-Levy Bret-Aaron-Knower John-E.-Brownlee Ron-Howard
5,11665,cm2941ws30000f34owtbyuyxq,1,0,5,Action Comedy Thriller syndicate-kaos agent-99 secret-agents attack-spy maxwell-smart KAOS U.S. Control Maxwell-Smart 99 KAOS action-packed mysterious Steve-Carell Anne-Hathaway Dwayne-Johnson Alan-Arkin Terence-Stamp James-Caan Bill-Murray Patrick-Warburton Terry-Crews David-Koechner Masi-Oka Nate-Torrence Ken-Davitian David-S.-Lee Dalip-Singh Geoff-Pierson Kelly-Karbacz Arthur-Darbinyan Bill-Romanowski Mark-Ivanir Lindsay-Hollister Dimitri-Diatchenko Richard-V.-Licata Greg-Joung-Paik Joey-Yu Mike-Akrawi John-Abiskaron Kerry-Lai-Fatt David-A.-Parker Bonnie-Hellman John-Farley Jonathan-Loughran Felisha-Terrell Jeff-Tanner Jasper-Pendergrass Carl-Crevier David-Schaap Peter-Weireter Thomas-Garner- Danielle-Bisutti Jessica-Barth David-Fabrizio John-Eddins Alex-Kudrytsky Tatyana-Kaboulova Moshana-Halbert Sergei-Priselkov Jane-Gilchrist Todd-Sherry David-Aranovich Ivy-Bethune Larry-Miller Kevin-Nealon Blake-Clark Cedric-Yarbrough James-Moses-Black Bernie-Kopell Michael-P.-Catanzarite Tim-DeKay Jerry-Sherman Matthew-Glave Brad-Grunberg Leonard-B.-Stern Sean-Segal Stephen-Dunham Jennifer-De-Minco Karri-Turner Ryan-Seacrest William-Charlton Nadia-David Aurelius-DiBarsanti Fred-Fein Mo-Gallini Sam-Hale Butch-Klein Sophia-Lansky Joshua-Leary Phoebe-Price Nicholas-Rich Shant-Sarkissian Julian-Scott-Urena Gunter-Ziegler Vinicius-Zorin-Machado Peter-Segal
6,71672,cm2941ws30000f34owtbyuyxq,0,0,6,Horror Thriller deserted-sanatorium cannibals cannibals-surround death-trap refuge-deserted Jennifer-Pudavick Tenika-Davis Terra-Vnesa Kristen-Harris Kaitlyn-Leeb Dean-Armstrong Ali-Tataryn Victor-Zinck-Jr. Samantha-Kendrick Sean-Skene Dan-Skene Arne-MacPherson Declan-O'Brien
7,23023,cm2941ws30000f34owtbyuyxq,0,0,7,Comedy Family Fantasy derek-thompson player-derek tooth-fairy opponents-teeth teeth-time Derek-Thompson one-week Derek Dwayne-Johnson Stephen-Merchant Ashley-Judd Julie-Andrews Ryan-Sheckler Seth-MacFarlane Destiny-Whitlock Chase-Ellison Darien-Provost Alex-Ferris Nicole-Muñoz Brendan-Meyer Josh-Emerson Brandon-T.-Jackson Dan-Joffre Ellie-Harvie Barclay-Hope Michael-Daingerfield Dale-Wolfe Anthony-Bewlz Brendan-Penny Lee-Tichon Jill-Morrison Rukiya-Bernard Maya-Washington Daniel-Bacon Christina-Schild Nicholas-Carella Derek-Gilroy Brendan-Beiser Fiona-Hogan Peter-Kelamis Steve-Levy Candus-Churchill David-Quinlan John-Tench Ron-Toffolo Stephen-Holmes Billy-Crystal Michael-Lembeck
8,10166,cm2941ws30000f34owtbyuyxq,1,0,8,Fantasy Family Horror witches-plot mice-luke victim-witches luke-fall children-mice Luke Will-Luke fantasy epic Jasen-Fisher Mai-Zetterling Anjelica-Huston Charlie-Potter Rowan-Atkinson Bill-Paterson Brenda-Blethyn Jane-Horrocks Nora-Connolly Rose-English Jenny-Runacre Angelique-Rockas Rosamund-Greenwood Sukie-Smith Emma-Relph Annabel-Brooks Vincent-Marzello Darcy-Flynn Ola-Otnes Merete-Armand Elsie-Eide Jim-Carter Roberta-Taylor Anne-Tirard Leila-Hoffman Johan-Sverre-Myhre Arvid-Ones Sverre-Røssummoen Grete-Nordrå Serena-Harragin Brian-Hawksley Debra-Gillett Anne-Lambton Kristin-Steinsland Nicolas-Roeg
9,2655,cm2941ws30000f34owtbyuyxq,0,0,9,Drama Horror Mystery Thriller claire-investigates claire-spencer head-claire claire hearing-ghostly Claire-Spencer Claire romantic romantic-comedy Harrison-Ford Michelle-Pfeiffer Diana-Scarwid James-Remar Miranda-Otto Ray-Baker Wendy-Crewson Amber-Valletta Katharine-Towne Victoria-Bidewell Joe-Morton Micole-Mercurio Sloane-Shelton Rachel-Singer Daniel-Zelman Jennifer-Tung J.C.-Brandy Dennison-Samaroo Eliott-Goretsky Tom-Dahlgren Robert-Zemeckis
